ct	frac	bits	diversity	sample
301671	0.0077	13.0328	8380.6575	exp3_ars416_mix_plate_m1
284401	0.0072	13.0111	8255.4059	exp3_ars416_mix_plate_m21
223456	0.0057	15.5096	46649.7047	exp3_ars416_mix_plate_m22
276362	0.0070	12.2863	4995.1476	exp3_ars416_mix_plate_m23
198379	0.0051	11.9377	3922.9275	exp3_ars416_mix_plate_m3
314353	0.0080	13.3612	10522.7190	exp3_ars416_mix_plate_m5
220274	0.0056	11.4047	2711.1307	exp3_ars416_mix_plate_m9
281284	0.0072	11.4049	2711.4712	exp3_ars416_mix_plate_wt
299197	0.0076	12.3915	5373.1166	exp3_ars416_mix_sat1_m1
335141	0.0085	10.3023	1262.7053	exp3_ars416_mix_sat1_m21
230060	0.0059	7.5475	187.0820	exp3_ars416_mix_sat1_m22
342222	0.0087	7.9440	246.2553	exp3_ars416_mix_sat1_m23
273154	0.0070	10.9000	1910.9105	exp3_ars416_mix_sat1_m3
211242	0.0054	3.9362	15.3081	exp3_ars416_mix_sat1_m5
333186	0.0085	4.1556	17.8220	exp3_ars416_mix_sat1_m9
334244	0.0085	8.0603	266.9291	exp3_ars416_mix_sat1_wt
320792	0.0082	12.5555	6019.6130	exp3_ars416_mix_sat2_m1
201659	0.0051	9.1304	560.4495	exp3_ars416_mix_sat2_m21
209998	0.0053	6.8628	116.3852	exp3_ars416_mix_sat2_m22
441834	0.0113	8.1573	285.4861	exp3_ars416_mix_sat2_m23
326667	0.0083	10.7228	1689.9930	exp3_ars416_mix_sat2_m3
291418	0.0074	2.7271	6.6213	exp3_ars416_mix_sat2_m5
365498	0.0093	2.8316	7.1185	exp3_ars416_mix_sat2_m9
282013	0.0072	7.1389	140.9363	exp3_ars416_mix_sat2_wt
311347	0.0079	12.1348	4497.1518	exp4_ars416_lib_plate_m1
266811	0.0068	11.7510	3446.6766	exp4_ars416_lib_plate_m20
365595	0.0093	12.5776	6112.6484	exp4_ars416_lib_plate_m21
332554	0.0085	15.1987	37605.4741	exp4_ars416_lib_plate_m22
321701	0.0082	12.3663	5279.9362	exp4_ars416_lib_plate_m23
343721	0.0088	12.0015	4100.3091	exp4_ars416_lib_plate_m3
279756	0.0071	11.8413	3669.3008	exp4_ars416_lib_plate_m5
349617	0.0089	16.0836	69447.4885	exp4_ars416_lib_plate_m6
333482	0.0085	10.4445	1393.5476	exp4_ars416_lib_plate_m9
347932	0.0089	12.0589	4266.8302	exp4_ars416_lib_plate_wt
247610	0.0063	17.4101	174169.8365	exp4_ars416_lib_ref
350601	0.0089	9.7755	876.4154	exp4_ars416_lib_sat_m1
317009	0.0081	10.3155	1274.2906	exp4_ars416_lib_sat_m20
220502	0.0056	8.5943	386.4866	exp4_ars416_lib_sat_m21
224284	0.0057	5.2683	38.5407	exp4_ars416_lib_sat_m22
334776	0.0085	9.9073	960.2920	exp4_ars416_lib_sat_m23
364510	0.0093	8.6793	409.9448	exp4_ars416_lib_sat_m3
207293	0.0053	7.5091	182.1685	exp4_ars416_lib_sat_m5
363866	0.0093	7.0867	135.9280	exp4_ars416_lib_sat_m6
300286	0.0076	7.8057	223.7486	exp4_ars416_lib_sat_m9
360395	0.0092	10.6748	1634.6896	exp4_ars416_lib_sat_wt
301602	0.0077	9.6426	799.3059	exp4_ars416_mix_plate_wt
363360	0.0093	7.9439	246.2339	exp4_ars416_mix_sat_wt
471828	0.0120	14.8055	28634.6842	exp5_ars317_lib_plate_m1
426191	0.0109	11.1676	2300.2472	exp5_ars317_lib_plate_m5
346982	0.0088	13.3277	10281.3145	exp5_ars317_lib_plate_m6
447076	0.0114	15.0017	32807.0828	exp5_ars317_lib_plate_wt
390980	0.0100	17.9705	256840.6935	exp5_ars317_lib_ref
493008	0.0126	9.2180	595.5139	exp5_ars317_lib_sat_m1
512903	0.0131	7.4272	172.1102	exp5_ars317_lib_sat_m22
420388	0.0107	9.6640	811.2557	exp5_ars317_lib_sat_m5
387225	0.0099	6.3966	84.2497	exp5_ars317_lib_sat_m6
480829	0.0122	10.3142	1273.1519	exp5_ars317_lib_sat_wt
410265	0.0104	17.7111	214574.1900	exp5_ars317_mix_plate_wt
412652	0.0105	13.5876	12310.3190	exp5_ars317_mix_sat_wt
4779	0.0001	3.6079	12.1922	exp5_ars317_wt_ref
184055	0.0047	14.0766	17277.1582	exp6_ars317_lib_plate_m22
191716	0.0049	15.1757	37010.8407	exp6_ars317_lib_plate_wt
187780	0.0048	17.2061	151199.3947	exp6_ars317_lib_ref
160096	0.0041	13.4949	11544.5106	exp6_ars317_lib_sat1_m1
213913	0.0054	13.7101	13401.5342	exp6_ars317_lib_sat1_m20
178593	0.0045	12.5326	5924.9134	exp6_ars317_lib_sat1_m21
181388	0.0046	11.2848	2494.9671	exp6_ars317_lib_sat1_m22
244766	0.0062	13.7928	14191.6122	exp6_ars317_lib_sat1_m23
183924	0.0047	13.0965	8758.9836	exp6_ars317_lib_sat1_m3
165333	0.0042	7.2167	148.7447	exp6_ars317_lib_sat1_m5
316926	0.0081	5.6074	48.7527	exp6_ars317_lib_sat1_m6
216522	0.0055	8.2386	302.0432	exp6_ars317_lib_sat1_m9
204045	0.0052	13.8916	15198.5881	exp6_ars317_lib_sat1_wt
192179	0.0049	13.4760	11394.2768	exp6_ars317_lib_sat2_m1
216313	0.0055	12.5675	6069.8957	exp6_ars317_lib_sat2_m20
190138	0.0048	11.8166	3607.0456	exp6_ars317_lib_sat2_m21
215337	0.0055	10.5165	1464.8567	exp6_ars317_lib_sat2_m22
181228	0.0046	13.6456	12815.2256	exp6_ars317_lib_sat2_m23
186099	0.0047	11.9458	3944.8520	exp6_ars317_lib_sat2_m3
162280	0.0041	6.2167	74.3724	exp6_ars317_lib_sat2_m5
363270	0.0093	4.4170	21.3618	exp6_ars317_lib_sat2_m6
193458	0.0049	7.3900	167.7348	exp6_ars317_lib_sat2_m9
200328	0.0051	13.7935	14199.1052	exp6_ars317_lib_sat2_wt
2600	0.0001	3.8973	14.9007	exp6_ars317_wt_ref
200904	0.0051	17.2811	159264.4815	exp7_ars317_lib_ref
199978	0.0051	13.5848	12286.8869	exp7_ars317_lib_sat1_m1
176692	0.0045	13.0088	8242.2066	exp7_ars317_lib_sat1_m20
168688	0.0043	11.9425	3935.9406	exp7_ars317_lib_sat1_m21
181364	0.0046	9.6265	790.4459	exp7_ars317_lib_sat1_m22
190601	0.0049	13.6606	12949.5430	exp7_ars317_lib_sat1_m23
205859	0.0052	10.3838	1336.0977	exp7_ars317_lib_sat1_m3
212316	0.0054	4.4813	22.3358	exp7_ars317_lib_sat1_m5
202914	0.0052	12.1158	4438.3856	exp7_ars317_lib_sat1_m6
156254	0.0040	8.2740	309.5463	exp7_ars317_lib_sat1_m9
158680	0.0040	13.6694	13028.5858	exp7_ars317_lib_sat1_wt
156447	0.0040	16.9051	122724.6973	exp7_ars416_lib_ref
220420	0.0056	12.2310	4807.1959	exp7_ars416_lib_sat1_m1
201581	0.0051	11.6246	3157.6434	exp7_ars416_lib_sat1_m20
222364	0.0057	10.6494	1606.1072	exp7_ars416_lib_sat1_m21
281594	0.0072	5.7887	55.2813	exp7_ars416_lib_sat1_m22
205892	0.0052	13.0653	8571.5594	exp7_ars416_lib_sat1_m23
222234	0.0057	11.3634	2634.7252	exp7_ars416_lib_sat1_m3
266217	0.0068	7.6317	198.3157	exp7_ars416_lib_sat1_m5
255077	0.0065	10.2614	1227.4512	exp7_ars416_lib_sat1_m6
317137	0.0081	5.1807	36.2702	exp7_ars416_lib_sat1_m9
208105	0.0053	13.0798	8658.1312	exp7_ars416_lib_sat1_wt
152996	0.0039	16.8684	119641.6348	exp8_ars416_lib_ref
199625	0.0051	12.1745	4622.7245	exp8_ars416_lib_sat1_m20
111542	0.0028	6.8543	115.7081	exp8_ars416_lib_sat1_m22c3
163358	0.0042	6.8558	115.8265	exp8_ars416_lib_sat1_m22c4
70772	0.0018	9.5512	750.2127	exp8_ars416_lib_sat1_m6
204529	0.0052	11.9172	3867.6058	exp8_ars416_lib_sat1_wt
249652	0.0064	11.9744	4024.0508	exp8_ars416_lib_sat1_wt-kl
229281	0.0058	12.7043	6673.9871	exp8_ars416_lib_sat1_wt-wt
229591	0.0058	6.7887	110.5606	exp8_subars317_lib_ref
350654	0.0089	3.7955	13.8854	exp8_subars317_lib_sat1_m1
329941	0.0084	2.2827	4.8660	exp8_subars317_lib_sat1_m21
382300	0.0097	3.3552	10.2335	exp8_subars317_lib_sat1_m22
256185	0.0065	3.6009	12.1331	exp8_subars317_lib_sat1_m3
394289	0.0100	3.9132	15.0661	exp8_subars317_lib_sat1_m5
357192	0.0091	3.5492	11.7059	exp8_subars317_lib_sat1_m9
343829	0.0088	4.6675	25.4138	exp8_subars317_lib_sat1_wt
182071	0.0046	6.2918	78.3492	exp8_subars416_lib_ref
127888	0.0033	5.8512	57.7278	exp8_subars416_lib_sat1_m1
143492	0.0037	5.5600	47.1766	exp8_subars416_lib_sat1_m21
88252	0.0022	3.9844	15.8276	exp8_subars416_lib_sat1_m22
178001	0.0045	6.1372	70.3864	exp8_subars416_lib_sat1_m3
15886	0.0004	5.8619	58.1558	exp8_subars416_lib_sat1_m5
288860	0.0074	1.9726	3.9248	exp8_subars416_lib_sat1_m9
197881	0.0050	5.7952	55.5287	exp8_subars416_lib_sat1_wt
353459	0.0090	17.7288	217221.2623	exp9_ars416_lib_ref
496583	0.0126	12.5951	6187.4972	exp9_ars416_lib_sat1_m1c1
508101	0.0129	12.6074	6240.4734	exp9_ars416_lib_sat1_m1c2
475688	0.0121	10.8415	1834.9619	exp9_ars416_lib_sat1_m21c2
587965	0.0150	11.2604	2453.1499	exp9_ars416_lib_sat1_m21c6
599288	0.0153	7.7633	217.2600	exp9_ars416_lib_sat1_m22c3
450216	0.0115	6.2757	77.4776	exp9_ars416_lib_sat1_m22c4
473428	0.0121	11.5615	3022.4810	exp9_ars416_lib_sat1_m3c1
546357	0.0139	11.4542	2805.7959	exp9_ars416_lib_sat1_m3c2
502892	0.0128	13.4733	11373.0499	exp9_ars416_lib_sat1_wtc1
372652	0.0095	13.4009	10816.2925	exp9_ars416_lib_sat1_wtc6
