pos	val_A	val_C	val_G	val_T
0	-0.000129	-0.002680	+0.004163	-0.001353
1	-0.002139	+0.001472	-0.003135	+0.003802
2	+0.018397	-0.005125	-0.015850	+0.002578
3	+0.008014	-0.003724	+0.001674	-0.005963
4	+0.011284	-0.013119	-0.003919	+0.005753
5	+0.016709	-0.018103	+0.000189	+0.001205
6	-0.001040	+0.003806	-0.008524	+0.005758
7	+0.009485	-0.014618	+0.003834	+0.001299
8	+0.007851	-0.017610	+0.001742	+0.008017
9	+0.019313	-0.003288	-0.018196	+0.002170
10	+0.014713	-0.020145	-0.012163	+0.017594
11	+0.004444	-0.006487	-0.022803	+0.024847
12	-0.002349	-0.012548	-0.001351	+0.016248
13	+0.008545	-0.004266	-0.008209	+0.003930
14	+0.017736	+0.001124	-0.032227	+0.013368
15	+0.024843	-0.005050	-0.017771	-0.002022
16	+0.054609	-0.047358	-0.014975	+0.007723
17	+0.093954	-0.118262	-0.030732	+0.055040
18	+0.081535	-0.144603	-0.038584	+0.101652
19	-0.051930	-0.138588	-0.063428	+0.253946
20	-0.052025	-0.040665	-0.143115	+0.235805
21	+0.029401	-0.112779	-0.067103	+0.150481
22	+0.189315	-0.023576	-0.117771	-0.047968
23	-0.128159	+0.065902	-0.081143	+0.143401
24	+0.011938	-0.117042	+0.172363	-0.067259
25	-0.020371	-0.070080	-0.147686	+0.238137
26	-0.077292	-0.095143	-0.066076	+0.238511
27	-0.028337	-0.109789	-0.093434	+0.231560
28	+0.054773	-0.068945	-0.095267	+0.109438
29	-0.129912	-0.028445	+0.035565	+0.122793
30	-0.128624	-0.060913	+0.091974	+0.097563
31	-0.081260	+0.016617	-0.027252	+0.091894
32	+0.009830	+0.030239	+0.037115	-0.077183
33	-0.059618	+0.060372	+0.014020	-0.014774
34	+0.015042	+0.001581	+0.026874	-0.043497
35	+0.054061	+0.000368	+0.040326	-0.094755
36	+0.018194	-0.029957	+0.021125	-0.009362
37	+0.056505	-0.034713	-0.059869	+0.038076
38	+0.022197	-0.026590	-0.005458	+0.009851
39	-0.022250	+0.026572	-0.019249	+0.014927
40	-0.001029	+0.010541	+0.000864	-0.010376
41	+0.005780	+0.010382	+0.011127	-0.027289
42	+0.035986	-0.002780	-0.019886	-0.013320
43	+0.057440	-0.065445	+0.067802	-0.059797
44	+0.016129	+0.032605	-0.087471	+0.038737
45	+0.091136	-0.140660	-0.072081	+0.121605
46	-0.047166	-0.045662	-0.092389	+0.185216
47	-0.071451	-0.022224	-0.033512	+0.127188
48	-0.014698	+0.040657	-0.015791	-0.010168
49	+0.045265	-0.033430	+0.054973	-0.066808
