pos	val_A	val_C	val_G	val_T
0	+0.004696	+0.003284	+0.000006	-0.007986
1	+0.000589	-0.004122	+0.000933	+0.002600
2	+0.017651	-0.007096	-0.014844	+0.004289
3	+0.003310	-0.000959	-0.005361	+0.003009
4	+0.004266	-0.006385	-0.001776	+0.003896
5	+0.001562	-0.005432	+0.002548	+0.001322
6	+0.001378	+0.000659	-0.006465	+0.004428
7	+0.008646	-0.014625	+0.007829	-0.001850
8	+0.007314	-0.011376	-0.000806	+0.004867
9	+0.017620	-0.007761	-0.011594	+0.001736
10	+0.002374	-0.006191	-0.007802	+0.011620
11	+0.000293	-0.006412	-0.011084	+0.017203
12	-0.002515	-0.007176	-0.003868	+0.013559
13	+0.002478	-0.007255	-0.010386	+0.015163
14	+0.011337	+0.006447	-0.025067	+0.007283
15	+0.016623	-0.009867	-0.008158	+0.001401
16	+0.027827	-0.023786	-0.008906	+0.004865
17	+0.074280	-0.063718	-0.036592	+0.026031
18	+0.069265	-0.081590	-0.062968	+0.075293
19	-0.032627	-0.039969	-0.127292	+0.199887
20	+0.058624	-0.116151	-0.191200	+0.248727
21	+0.097072	-0.001804	-0.265414	+0.170146
22	+0.246837	-0.189619	-0.009478	-0.047740
23	-0.057769	+0.094515	-0.173976	+0.137231
24	+0.081061	-0.215505	+0.196955	-0.062511
25	-0.031692	-0.111327	-0.034268	+0.177286
26	-0.134377	+0.011130	-0.142747	+0.265994
27	-0.040060	-0.057692	-0.172262	+0.270014
28	+0.050749	-0.021705	-0.114846	+0.085802
29	-0.074100	-0.026206	+0.032880	+0.067426
30	-0.061070	-0.023167	+0.040226	+0.044012
31	-0.039378	+0.012017	-0.032168	+0.059529
32	+0.013361	+0.025372	+0.024198	-0.062932
33	-0.034777	+0.030158	+0.010637	-0.006017
34	+0.004246	+0.000039	+0.012299	-0.016584
35	+0.032852	-0.002261	+0.016771	-0.047362
36	+0.009822	-0.011510	+0.006159	-0.004471
37	+0.037279	-0.030023	-0.025391	+0.018136
38	+0.023989	-0.018907	-0.017383	+0.012301
39	-0.012681	+0.012533	-0.008893	+0.009041
40	-0.004940	+0.007071	+0.002154	-0.004286
41	-0.004256	+0.017264	-0.002658	-0.010350
42	+0.019763	-0.002406	-0.015360	-0.001998
43	+0.032511	-0.030243	+0.049787	-0.052055
44	+0.008621	+0.021956	-0.064972	+0.034395
45	+0.075076	-0.120338	-0.041251	+0.086513
46	-0.014574	-0.051552	-0.071816	+0.137942
47	-0.033351	+0.004970	-0.071807	+0.100187
48	-0.009799	+0.023625	-0.012448	-0.001378
49	+0.033399	-0.012317	+0.029282	-0.050364
