pos	val_A	val_C	val_G	val_T
87	-0.005989	-0.005023	-0.025113	+0.036125
88	+0.010641	-0.003984	-0.016193	+0.009535
89	-0.010673	+0.019038	-0.009011	+0.000646
90	+0.005493	+0.016918	+0.013074	-0.035486
91	+0.010713	+0.008011	-0.013390	-0.005334
92	+0.020131	-0.027363	-0.005267	+0.012499
93	-0.011672	-0.001967	+0.024207	-0.010568
94	-0.001583	+0.029991	-0.004765	-0.023643
95	+0.052257	-0.010310	-0.033489	-0.008457
96	+0.004001	-0.002341	-0.014756	+0.013096
97	-0.003179	-0.006057	-0.017776	+0.027012
98	+0.043621	-0.017318	-0.013597	-0.012706
99	-0.020036	+0.012022	-0.007223	+0.015236
100	+0.001490	+0.013906	-0.028695	+0.013299
101	+0.010330	-0.015624	+0.002700	+0.002594
102	+0.041267	-0.020340	-0.020648	-0.000279
103	+0.020405	-0.027309	-0.040487	+0.047391
104	+0.059832	-0.081414	-0.077920	+0.099502
105	+0.025242	-0.084343	-0.084823	+0.143923
106	+0.016477	-0.103143	-0.149474	+0.236140
107	+0.012977	-0.133536	-0.131956	+0.252515
108	+0.024713	-0.001941	-0.170406	+0.147634
109	+0.315845	-0.135485	-0.083609	-0.096752
110	-0.040080	+0.084306	-0.158157	+0.113931
111	+0.064276	-0.096703	+0.120856	-0.088429
112	+0.069936	-0.136802	-0.142571	+0.209437
113	-0.017050	-0.057446	-0.160223	+0.234719
114	-0.014527	-0.129826	-0.099877	+0.244231
115	+0.122965	-0.079665	-0.069558	+0.026258
116	-0.138167	-0.081670	+0.191876	+0.027960
117	-0.094473	-0.030171	+0.055414	+0.069229
118	-0.053885	+0.018488	-0.031815	+0.067212
119	-0.008135	+0.030975	+0.004987	-0.027827
120	-0.045354	+0.027802	+0.008822	+0.008730
121	+0.018149	-0.017945	+0.056135	-0.056340
122	+0.040014	-0.017593	+0.014189	-0.036610
123	+0.061454	-0.004069	-0.052351	-0.005034
124	+0.082079	-0.057546	-0.051865	+0.027332
125	+0.038889	-0.030691	-0.027568	+0.019370
126	-0.016603	+0.010462	-0.022381	+0.028521
127	-0.013665	-0.026173	+0.015867	+0.023972
128	-0.019519	+0.029890	-0.018854	+0.008482
129	+0.014120	-0.012471	+0.022572	-0.024221
130	+0.010680	+0.009735	+0.009158	-0.029574
131	+0.000200	+0.034222	-0.053213	+0.018791
132	+0.042360	-0.027263	-0.059440	+0.044343
133	-0.000584	+0.003374	-0.061013	+0.058223
134	+0.008215	+0.013528	-0.077381	+0.055638
135	-0.010311	+0.034475	-0.013819	-0.010346
136	+0.029131	-0.028668	+0.009048	-0.009512
