pos	val_A	val_C	val_G	val_T
0	+0.006203	-0.009745	+0.000513	+0.003029
1	+0.020748	-0.002055	-0.020453	+0.001761
2	+0.018778	-0.021733	-0.010143	+0.013098
3	-0.000778	-0.007907	-0.001856	+0.010540
4	+0.009964	-0.003052	-0.011839	+0.004927
5	+0.001847	-0.007062	-0.008735	+0.013950
6	-0.001376	-0.017300	-0.002468	+0.021143
7	+0.009566	-0.012277	-0.004060	+0.006771
8	+0.006864	-0.023864	-0.011926	+0.028926
9	+0.022748	-0.018547	-0.014304	+0.010103
10	-0.003629	-0.017351	-0.007729	+0.028708
11	-0.009959	-0.003061	-0.001188	+0.014208
12	+0.003823	-0.013464	-0.017327	+0.026968
13	+0.016251	-0.004118	-0.009248	-0.002885
14	+0.007139	+0.003722	-0.016807	+0.005946
15	+0.020530	-0.006958	-0.003135	-0.010437
16	+0.042257	-0.042617	-0.013757	+0.014117
17	+0.075800	-0.075864	-0.036425	+0.036489
18	+0.079839	-0.109541	-0.044840	+0.074542
19	-0.055510	-0.113292	-0.073196	+0.241998
20	+0.022402	-0.124039	-0.126228	+0.227864
21	+0.077618	-0.024658	-0.206981	+0.154021
22	+0.249114	-0.090556	-0.045866	-0.112693
23	-0.056935	+0.075794	-0.150545	+0.131686
24	+0.071251	-0.136985	+0.162558	-0.096823
25	+0.013169	-0.116815	-0.133645	+0.237291
26	-0.094601	-0.058930	-0.086796	+0.240327
27	-0.060348	-0.085361	-0.110039	+0.255748
28	+0.103357	-0.090428	-0.101622	+0.088693
29	-0.114154	-0.104290	+0.200192	+0.018252
30	-0.153496	+0.002011	+0.061303	+0.090182
31	-0.060236	+0.015942	-0.030693	+0.074987
32	+0.000641	+0.042929	+0.034262	-0.077832
33	-0.025346	+0.031994	+0.006146	-0.012793
34	+0.013235	+0.001622	+0.011439	-0.026296
35	+0.031497	-0.003161	+0.026947	-0.055282
36	+0.021931	-0.017085	-0.007718	+0.002872
37	+0.026677	-0.012743	-0.042807	+0.028872
38	+0.030693	-0.020001	-0.020382	+0.009690
39	-0.009212	+0.016806	-0.012843	+0.005249
40	+0.008579	+0.011338	-0.022769	+0.002851
41	+0.009449	+0.017383	-0.010340	-0.016492
42	+0.028829	+0.001736	-0.022022	-0.008543
43	+0.030016	-0.045092	+0.039045	-0.023968
44	+0.002434	+0.018687	-0.054486	+0.033365
45	+0.076016	-0.102720	-0.057681	+0.084385
46	-0.004086	-0.069630	-0.075107	+0.148823
47	-0.028738	+0.014585	-0.079034	+0.093187
48	-0.001781	+0.012759	-0.018821	+0.007842
49	+0.014729	-0.013923	+0.021640	-0.022446
