pos	val_A	val_C	val_G	val_T
0	+0.024508	-0.024454	-0.020723	+0.020668
1	+0.006746	-0.028751	-0.002855	+0.024860
2	+0.012599	+0.010615	-0.034350	+0.011136
3	+0.011787	-0.025637	-0.010823	+0.024674
4	-0.008911	-0.019206	+0.010749	+0.017369
5	-0.006724	-0.019770	+0.020796	+0.005699
6	-0.000856	-0.017199	-0.011619	+0.029674
7	+0.018774	-0.027195	-0.015673	+0.024094
8	+0.028502	-0.004642	-0.039235	+0.015375
9	+0.008791	-0.020300	-0.018329	+0.029838
10	+0.010519	-0.021377	-0.037455	+0.048313
11	+0.000731	-0.010790	-0.028581	+0.038640
12	-0.016459	-0.012942	-0.025303	+0.054704
13	+0.034241	-0.005118	-0.030837	+0.001713
14	+0.008986	+0.024759	-0.024774	-0.008971
15	+0.036028	-0.028881	+0.000464	-0.007611
16	+0.024531	-0.032395	+0.016508	-0.008644
17	+0.094856	-0.106752	-0.042538	+0.054434
18	+0.056304	-0.104474	-0.046636	+0.094806
19	-0.067644	-0.119528	-0.058694	+0.245865
20	-0.040601	-0.091636	-0.062211	+0.194447
21	+0.044332	-0.068272	-0.120691	+0.144631
22	+0.274044	-0.203133	-0.068087	-0.002823
23	-0.075451	+0.056766	-0.098222	+0.116907
24	+0.062740	-0.094020	+0.162591	-0.131311
25	-0.004055	-0.153731	-0.066300	+0.224085
26	-0.047453	-0.076319	-0.102024	+0.225796
27	-0.007530	-0.061227	-0.203962	+0.272719
28	+0.123447	-0.097713	-0.111140	+0.085406
29	-0.090402	-0.097565	+0.209535	-0.021567
30	-0.085442	-0.001995	+0.047900	+0.039537
31	-0.054719	+0.014721	-0.053585	+0.093583
32	+0.008172	+0.057760	+0.000502	-0.066434
33	-0.033070	+0.028200	-0.001669	+0.006539
34	+0.011639	-0.000257	-0.015069	+0.003687
35	+0.025611	-0.015904	+0.008318	-0.018025
36	+0.004003	-0.020343	-0.008266	+0.024605
37	+0.048923	-0.026851	-0.054814	+0.032742
38	+0.007017	-0.007772	-0.018853	+0.019608
39	-0.015620	+0.010652	+0.003486	+0.001482
40	-0.002190	+0.021707	+0.008008	-0.027525
41	-0.008007	+0.007411	-0.003341	+0.003937
42	+0.009650	-0.002705	-0.017700	+0.010754
43	+0.034633	-0.027419	+0.056030	-0.063244
44	-0.018821	+0.037676	-0.041589	+0.022733
45	+0.058752	-0.110167	-0.063844	+0.115259
46	-0.011285	-0.063089	-0.082520	+0.156895
47	-0.010163	-0.026855	-0.079545	+0.116563
48	-0.011011	-0.006926	-0.013948	+0.031884
49	+0.019297	+0.007160	+0.013078	-0.039536
