pos	val_A	val_C	val_G	val_T
0	+0.021545	+0.000872	-0.050375	+0.027959
1	-0.030803	+0.018645	-0.012731	+0.024888
2	+0.038220	-0.016546	-0.025147	+0.003472
3	+0.002433	-0.019877	-0.001099	+0.018543
4	+0.023558	+0.025536	-0.044679	-0.004415
5	+0.039936	-0.071362	-0.011617	+0.043042
6	-0.013953	+0.002227	+0.011696	+0.000030
7	-0.024209	+0.020608	-0.013493	+0.017095
8	-0.001706	-0.003592	-0.012467	+0.017765
9	+0.011339	+0.003725	-0.028694	+0.013630
10	-0.003037	-0.002479	-0.036272	+0.041787
11	+0.014116	+0.027918	-0.041974	-0.000059
12	-0.016740	+0.009217	-0.026085	+0.033608
13	+0.012189	-0.007124	-0.012987	+0.007922
14	+0.035956	+0.007927	-0.039824	-0.004059
15	+0.037331	-0.047332	+0.025531	-0.015531
16	+0.042425	-0.041818	-0.021162	+0.020555
17	+0.107580	-0.085828	-0.060849	+0.039097
18	+0.073076	-0.015143	-0.110298	+0.052364
19	-0.086503	-0.034114	-0.109953	+0.230570
20	+0.028635	-0.072565	-0.139055	+0.182985
21	+0.081012	-0.064513	-0.176891	+0.160392
22	+0.221433	-0.206385	+0.001595	-0.016642
23	-0.115352	+0.091259	-0.119549	+0.143641
24	+0.103944	-0.204947	+0.159787	-0.058784
25	-0.072654	-0.067278	-0.067180	+0.207112
26	-0.121427	-0.034362	-0.058128	+0.213916
27	-0.055632	-0.128311	+0.065140	+0.118803
28	+0.044195	-0.071066	-0.082989	+0.109860
29	-0.045425	-0.141427	+0.088668	+0.098184
30	-0.062572	-0.070144	+0.063160	+0.069556
31	-0.021224	-0.018360	+0.021706	+0.017878
32	+0.006209	+0.013073	+0.005449	-0.024730
33	-0.015773	+0.022266	+0.001349	-0.007842
34	+0.014534	-0.021197	+0.029498	-0.022835
35	+0.055527	-0.026835	+0.011681	-0.040373
36	+0.055307	-0.056672	-0.020116	+0.021482
37	+0.084721	-0.052467	-0.020137	-0.012117
38	+0.037208	-0.006143	-0.055047	+0.023982
39	-0.021735	+0.032758	-0.001532	-0.009491
40	-0.031075	+0.019364	+0.001890	+0.009821
41	+0.011617	+0.012116	-0.004567	-0.019167
42	+0.032216	-0.043547	+0.003191	+0.008140
43	+0.011528	-0.001246	+0.011531	-0.021812
44	+0.073641	+0.042967	-0.170366	+0.053758
45	+0.116134	-0.088693	-0.150261	+0.122820
46	-0.062325	+0.001782	-0.101132	+0.161674
47	-0.065315	+0.056276	-0.112046	+0.121085
48	-0.011664	+0.035310	-0.014802	-0.008844
49	+0.036954	+0.019565	+0.064889	-0.121408
