pos	val_A	val_C	val_G	val_T
0	+0.008556	-0.009141	-0.014507	+0.015092
1	+0.017540	-0.014449	-0.008705	+0.005614
2	+0.035576	-0.017935	-0.021412	+0.003771
3	+0.007682	-0.010533	-0.007710	+0.010561
4	-0.000285	+0.000679	-0.006914	+0.006521
5	-0.002631	+0.007393	-0.001796	-0.002966
6	+0.010893	-0.003782	-0.019410	+0.012299
7	+0.011410	-0.018756	+0.001698	+0.005648
8	+0.015659	-0.007178	-0.030758	+0.022276
9	+0.023818	-0.021372	-0.019033	+0.016587
10	-0.000461	-0.009543	-0.011230	+0.021233
11	-0.003330	-0.000184	-0.017512	+0.021026
12	-0.012086	-0.006060	-0.007485	+0.025632
13	+0.005052	-0.008149	-0.006652	+0.009748
14	+0.026570	+0.002583	-0.014265	-0.014888
15	+0.019036	-0.024940	-0.016123	+0.022026
16	+0.046502	-0.052395	-0.007687	+0.013580
17	+0.065322	-0.101692	-0.006916	+0.043287
18	+0.053613	-0.101619	-0.027811	+0.075817
19	-0.019664	-0.100310	-0.120928	+0.240902
20	+0.024244	-0.088118	-0.169555	+0.233429
21	+0.055355	-0.034404	-0.139874	+0.118923
22	+0.244421	-0.121669	-0.065863	-0.056889
23	-0.050403	+0.064995	-0.138787	+0.124195
24	+0.054329	-0.135822	+0.156414	-0.074921
25	+0.008103	-0.114596	-0.123320	+0.229813
26	-0.103518	-0.046762	-0.083843	+0.234123
27	-0.176386	-0.098254	-0.018320	+0.292960
28	+0.096886	-0.091311	-0.084783	+0.079208
29	-0.156339	-0.094444	+0.201349	+0.049434
30	-0.144845	+0.020953	+0.052547	+0.071345
31	-0.084797	+0.027406	-0.008532	+0.065922
32	+0.004733	+0.030627	+0.027681	-0.063042
33	-0.048217	+0.037442	+0.017715	-0.006940
34	+0.018815	-0.018407	+0.029506	-0.029914
35	+0.048173	-0.006148	+0.014190	-0.056215
36	+0.025780	-0.012152	-0.008065	-0.005563
37	+0.033454	-0.014523	-0.039529	+0.020598
38	+0.019519	+0.005044	-0.037222	+0.012660
39	-0.016839	+0.019668	-0.008441	+0.005612
40	+0.014812	+0.001506	-0.013583	-0.002735
41	+0.010656	+0.013672	-0.009406	-0.014922
42	+0.030986	+0.001515	-0.019582	-0.012919
43	+0.034875	-0.051370	+0.040101	-0.023606
44	+0.022099	+0.025072	-0.079863	+0.032692
45	+0.071438	-0.106933	-0.056953	+0.092447
46	+0.018577	-0.100916	-0.063945	+0.146284
47	-0.025711	+0.000580	-0.072876	+0.098007
48	-0.012904	+0.017601	-0.008635	+0.003938
49	+0.014414	-0.021208	+0.033773	-0.026979
