pos	val_A	val_C	val_G	val_T
0	+0.005156	-0.008860	-0.012900	+0.016604
1	-0.002466	-0.004913	-0.005307	+0.012686
2	+0.005366	-0.017444	-0.029424	+0.041502
3	-0.002388	-0.017954	+0.011356	+0.008986
4	+0.001236	+0.000277	-0.002377	+0.000865
5	+0.011231	-0.029219	+0.007205	+0.010783
6	+0.005045	-0.009572	+0.000250	+0.004278
7	-0.002190	-0.011873	+0.006223	+0.007840
8	+0.013836	-0.012064	-0.009991	+0.008219
9	+0.010383	-0.006235	-0.015608	+0.011460
10	+0.013129	+0.003805	-0.032843	+0.015908
11	+0.008734	-0.004251	-0.029592	+0.025109
12	+0.013805	+0.001336	-0.032904	+0.017763
13	-0.002471	+0.000090	-0.006201	+0.008582
14	+0.025883	-0.006745	-0.018127	-0.001012
15	+0.017829	-0.003980	-0.012660	-0.001189
16	+0.077675	-0.065157	-0.013900	+0.001381
17	+0.112668	-0.173344	-0.028042	+0.088719
18	+0.078464	-0.132161	-0.055853	+0.109549
19	-0.103096	-0.056357	-0.097569	+0.257022
20	-0.089912	-0.080443	-0.039589	+0.209943
21	+0.002095	-0.043965	-0.089197	+0.131066
22	+0.130570	-0.141300	-0.020384	+0.031114
23	-0.106421	+0.005643	-0.000533	+0.101310
24	-0.054731	-0.055361	+0.130960	-0.020868
25	-0.089596	-0.042998	-0.083659	+0.216253
26	-0.140644	-0.135688	-0.006388	+0.282720
27	-0.029458	-0.058167	-0.075303	+0.162928
28	+0.021694	-0.153332	-0.035642	+0.167280
29	-0.065638	+0.075408	-0.073877	+0.064107
30	-0.131250	-0.062626	+0.061134	+0.132742
31	-0.065402	+0.038254	-0.073550	+0.100697
32	+0.017405	+0.036834	+0.027883	-0.082123
33	-0.075882	+0.062424	+0.019979	-0.006521
34	+0.011868	-0.004460	+0.030127	-0.037535
35	+0.066824	+0.010790	+0.034948	-0.112562
36	+0.051533	-0.032131	-0.016706	-0.002696
37	+0.069455	-0.077429	-0.026658	+0.034633
38	+0.013479	-0.029577	+0.013394	+0.002704
39	-0.017913	+0.039650	-0.027546	+0.005809
40	-0.011452	-0.006035	+0.018329	-0.000842
41	+0.004451	+0.019258	-0.003818	-0.019891
42	+0.032086	-0.019412	-0.002867	-0.009807
43	+0.032061	-0.035238	+0.047680	-0.044503
44	-0.014887	+0.015661	-0.059472	+0.058698
45	+0.092189	-0.095224	-0.126318	+0.129354
46	-0.148100	-0.085788	-0.023366	+0.257253
47	-0.087706	-0.002727	-0.024745	+0.115179
48	-0.022985	+0.072135	-0.034071	-0.015079
49	+0.068903	-0.041527	+0.062377	-0.089753
