pos	val_A	val_C	val_G	val_T
0	+0.057822	-0.020685	-0.024943	-0.012193
1	-0.007109	-0.025736	-0.024969	+0.057815
2	-0.001345	+0.047425	-0.032119	-0.013961
3	-0.005188	-0.029747	-0.026117	+0.061052
4	-0.019480	-0.015952	-0.022900	+0.058332
5	-0.011402	-0.029523	+0.060360	-0.019435
6	-0.018797	-0.020062	-0.022563	+0.061423
7	-0.001965	-0.030438	-0.026238	+0.058641
8	+0.061489	-0.023847	-0.028220	-0.009422
9	-0.002682	-0.027060	-0.031457	+0.061199
10	-0.014043	-0.030449	-0.027658	+0.072150
11	-0.016108	-0.026334	-0.030549	+0.072991
12	-0.018250	-0.022111	-0.034356	+0.074717
13	+0.058712	-0.019396	-0.031825	-0.007491
14	-0.014394	+0.059350	-0.026229	-0.018727
15	+0.067880	-0.028257	-0.017499	-0.022124
16	-0.000694	-0.032350	+0.051294	-0.018250
17	+0.093867	-0.063286	-0.036867	+0.006287
18	+0.022957	-0.074879	-0.048145	+0.100067
19	-0.003935	-0.070120	-0.156335	+0.230390
20	+0.028459	-0.090978	-0.146887	+0.209406
21	+0.030440	-0.015764	-0.159098	+0.144422
22	+0.245614	-0.217449	-0.019840	-0.008325
23	-0.055285	+0.051766	-0.130928	+0.134446
24	+0.044345	-0.106853	+0.164293	-0.101785
25	+0.038031	-0.117546	-0.135663	+0.215178
26	-0.065655	-0.028339	-0.131654	+0.225648
27	-0.050445	-0.098703	-0.088588	+0.237737
28	+0.113965	-0.066086	-0.081488	+0.033609
29	-0.119866	-0.076264	+0.187723	+0.008407
30	+0.010356	-0.011514	-0.003101	+0.004258
31	-0.052436	-0.000533	-0.042020	+0.094990
32	-0.008839	+0.069038	-0.006337	-0.053862
33	-0.033602	-0.002320	-0.016566	+0.052488
34	-0.013574	-0.019539	-0.016136	+0.049249
35	+0.001637	-0.025459	-0.014505	+0.038326
36	-0.009601	-0.028691	-0.018362	+0.056654
37	+0.070961	-0.031519	-0.034489	-0.004953
38	-0.009590	-0.015659	-0.031571	+0.056821
39	-0.025024	-0.009179	+0.050804	-0.016601
40	-0.017383	+0.058079	-0.021733	-0.018963
41	-0.021663	-0.013880	-0.014811	+0.050354
42	-0.009614	-0.011441	-0.034640	+0.055695
43	+0.009442	-0.044383	+0.082174	-0.047233
44	-0.015911	+0.064077	-0.050377	+0.002211
45	+0.031215	-0.087375	-0.056616	+0.112777
46	-0.006696	-0.057477	-0.081038	+0.145211
47	-0.027251	-0.019413	-0.063271	+0.109935
48	-0.022598	-0.011499	-0.025134	+0.059231
49	-0.006497	+0.047135	-0.008437	-0.032202
