pos	val_A	val_C	val_G	val_T
0	-0.003156	-0.017936	+0.005598	+0.015495
1	+0.018500	-0.003471	-0.019305	+0.004277
2	+0.020370	-0.014643	-0.008432	+0.002706
3	-0.008654	+0.009328	-0.011535	+0.010861
4	+0.010710	-0.008627	-0.003028	+0.000945
5	+0.005908	-0.000962	-0.001334	-0.003612
6	+0.005187	-0.014731	-0.000370	+0.009913
7	+0.018321	-0.006001	-0.014323	+0.002003
8	+0.002298	-0.018719	+0.003720	+0.012702
9	+0.015886	-0.017928	-0.008286	+0.010328
10	+0.011087	-0.018654	-0.012191	+0.019758
11	+0.001888	-0.003512	-0.015500	+0.017124
12	+0.002201	-0.002820	-0.022460	+0.023079
13	+0.004751	-0.004408	-0.012545	+0.012202
14	+0.002438	+0.000506	-0.016466	+0.013521
15	+0.017750	+0.001631	-0.019778	+0.000398
16	+0.035241	-0.040243	-0.012805	+0.017807
17	+0.078995	-0.085989	-0.029808	+0.036802
18	+0.067997	-0.092404	-0.058463	+0.082870
19	+0.001525	-0.140197	-0.092909	+0.231581
20	+0.011871	-0.131867	-0.120831	+0.240827
21	+0.049482	-0.055268	-0.133217	+0.139004
22	+0.255431	-0.124844	-0.084129	-0.046459
23	-0.068418	+0.076610	-0.138368	+0.130176
24	+0.058321	-0.134077	+0.170800	-0.095045
25	+0.022817	-0.138012	-0.123697	+0.238892
26	-0.079783	-0.041925	-0.122474	+0.244182
27	-0.068550	-0.132987	-0.069976	+0.271512
28	+0.100897	-0.108926	-0.085340	+0.093369
29	-0.131732	-0.066079	+0.198850	-0.001038
30	-0.156284	+0.008307	+0.059572	+0.088406
31	-0.070109	+0.028466	-0.027767	+0.069410
32	+0.008873	+0.024427	+0.033320	-0.066620
33	-0.046330	+0.046741	+0.007383	-0.007794
34	+0.005462	-0.007149	+0.023530	-0.021844
35	+0.039527	+0.003247	+0.017104	-0.059878
36	+0.021383	-0.019404	-0.002233	+0.000254
37	+0.037282	-0.018038	-0.038361	+0.019117
38	+0.016733	-0.015897	-0.009172	+0.008336
39	-0.002361	+0.008128	-0.007510	+0.001743
40	-0.005606	+0.009974	-0.005544	+0.001176
41	+0.002293	+0.021782	-0.008828	-0.015247
42	+0.014098	+0.006577	-0.015516	-0.005160
43	+0.032709	-0.030292	+0.042067	-0.044484
44	+0.020593	+0.021652	-0.076475	+0.034230
45	+0.074019	-0.101678	-0.071067	+0.098726
46	-0.003433	-0.073209	-0.070608	+0.147249
47	-0.008436	-0.014907	-0.061769	+0.085111
48	-0.014832	+0.014329	-0.005160	+0.005663
49	+0.032605	-0.013517	+0.019901	-0.038989
