pos	val_A	val_C	val_G	val_T
0	-0.006645	-0.084831	-0.003531	+0.095007
1	+0.059067	-0.003607	-0.060948	+0.005488
2	+0.030054	-0.000770	-0.102848	+0.073563
3	-0.001626	+0.034594	+0.001860	-0.034828
4	+0.029511	+0.013976	-0.045541	+0.002054
5	-0.036712	+0.051279	-0.010420	-0.004148
6	+0.013302	+0.023918	-0.052945	+0.015725
7	+0.017297	-0.045925	+0.025031	+0.003597
8	+0.011592	-0.034827	-0.023497	+0.046732
9	+0.052287	-0.060668	-0.036501	+0.044881
10	+0.035563	-0.049026	-0.025178	+0.038641
11	-0.066092	+0.033346	-0.051748	+0.084493
12	+0.046457	+0.023553	-0.089087	+0.019077
13	+0.015644	+0.048222	-0.095732	+0.031867
14	+0.058864	+0.055758	-0.011268	-0.103354
15	+0.101880	+0.011553	-0.071754	-0.041679
16	+0.084016	-0.119830	-0.018950	+0.054764
17	+0.056405	-0.048987	-0.111103	+0.103686
18	+0.082768	-0.086184	-0.037750	+0.041167
19	-0.162109	-0.055552	-0.049100	+0.266762
20	+0.021357	-0.051710	-0.128922	+0.159275
21	-0.014571	-0.017766	-0.097272	+0.129610
22	+0.095519	+0.014136	-0.124402	+0.014748
23	-0.119559	+0.007671	+0.031443	+0.080445
24	-0.036765	-0.040261	+0.042294	+0.034731
25	-0.121620	-0.136895	+0.099958	+0.158557
26	+0.069025	-0.100011	-0.140716	+0.171701
27	-0.132218	+0.017286	+0.038746	+0.076186
28	+0.015421	-0.128789	-0.028193	+0.141561
29	-0.039137	-0.030559	+0.023810	+0.045886
30	-0.144801	-0.071550	+0.100402	+0.115948
31	-0.059814	+0.061908	-0.135138	+0.133044
32	-0.037801	-0.016005	+0.017788	+0.036019
33	-0.044323	+0.041185	-0.010351	+0.013489
34	+0.012570	-0.027173	+0.000961	+0.013643
35	+0.072670	-0.029687	+0.051993	-0.094976
36	+0.031669	-0.028897	-0.012796	+0.010024
37	+0.098864	-0.093249	-0.074046	+0.068432
38	-0.014056	+0.045728	-0.032727	+0.001055
39	-0.058164	+0.031635	-0.027097	+0.053626
40	-0.003907	-0.023938	+0.020642	+0.007204
41	-0.030772	+0.000471	+0.015149	+0.015152
42	-0.019985	-0.031368	+0.073436	-0.022084
43	+0.040420	-0.040129	+0.006719	-0.007010
44	-0.095391	-0.024557	+0.063888	+0.056059
45	+0.150477	-0.018137	-0.212206	+0.079866
46	-0.086690	-0.077789	+0.010831	+0.153649
47	-0.122471	-0.009322	+0.067042	+0.064751
48	-0.020542	+0.021473	+0.015939	-0.016870
49	+0.091727	-0.032717	+0.045021	-0.104030
