pos	val_A	val_C	val_G	val_T
0	+0.007595	-0.012474	-0.013184	+0.018063
1	+0.019382	-0.003793	-0.021627	+0.006037
2	+0.027906	-0.017848	-0.012063	+0.002005
3	-0.000639	-0.009668	+0.001133	+0.009175
4	-0.001787	+0.006304	-0.011177	+0.006660
5	+0.004331	+0.001813	+0.003617	-0.009760
6	-0.002932	-0.009065	+0.003116	+0.008881
7	+0.013129	-0.019505	+0.004569	+0.001807
8	+0.013848	-0.001710	-0.025430	+0.013292
9	+0.019527	-0.013470	-0.017279	+0.011223
10	+0.004562	-0.012654	-0.013041	+0.021133
11	+0.003746	-0.010351	-0.012913	+0.019518
12	+0.003650	-0.006622	-0.015861	+0.018832
13	+0.009491	-0.002549	-0.014187	+0.007245
14	-0.002530	+0.007491	-0.006502	+0.001541
15	+0.020252	-0.019151	+0.000441	-0.001543
16	+0.025575	-0.021925	-0.002966	-0.000683
17	+0.052273	-0.049630	-0.034924	+0.032281
18	+0.046640	-0.065485	-0.039685	+0.058531
19	+0.012069	-0.089200	-0.147487	+0.224618
20	+0.040059	-0.080611	-0.160301	+0.200852
21	+0.069712	-0.020320	-0.165594	+0.116202
22	+0.314945	-0.384013	+0.035943	+0.033125
23	-0.010435	+0.085042	-0.187685	+0.113077
24	+0.085289	-0.123480	+0.163647	-0.125456
25	+0.066125	-0.114381	-0.153576	+0.201833
26	-0.000659	-0.053295	-0.160006	+0.213961
27	-0.056289	-0.124935	-0.082246	+0.263470
28	+0.075417	-0.046942	-0.091443	+0.062967
29	-0.146978	-0.055311	+0.171440	+0.030849
30	-0.058134	+0.011364	+0.015916	+0.030853
31	-0.045437	+0.021355	-0.015950	+0.040032
32	-0.001488	+0.017773	+0.015088	-0.031373
33	-0.026850	+0.024664	+0.002812	-0.000626
34	-0.009368	+0.005691	+0.014546	-0.010869
35	+0.020277	-0.002237	+0.008994	-0.027034
36	+0.011540	-0.008115	-0.002640	-0.000784
37	+0.026526	-0.015037	-0.029265	+0.017777
38	+0.016980	+0.001023	-0.018222	+0.000218
39	-0.007181	+0.009327	-0.006643	+0.004497
40	+0.004792	+0.003168	+0.002418	-0.010378
41	-0.001881	+0.002734	+0.001160	-0.002014
42	+0.009073	+0.003140	-0.015294	+0.003081
43	+0.027940	-0.022496	+0.033220	-0.038664
44	+0.011289	+0.011721	-0.042498	+0.019488
45	+0.069886	-0.093954	-0.042534	+0.066601
46	-0.000930	-0.046781	-0.065040	+0.112751
47	-0.011930	+0.004080	-0.065365	+0.073216
48	-0.008490	+0.020053	-0.013200	+0.001637
49	+0.009444	-0.008052	+0.020187	-0.021579
