pos	val_A	val_C	val_G	val_T
0	+0.008152	-0.003662	-0.009378	+0.004889
1	+0.019374	-0.004647	-0.018623	+0.003896
2	+0.029956	-0.016238	-0.011845	-0.001872
3	+0.004334	-0.010584	-0.003721	+0.009971
4	+0.005632	-0.000801	-0.007052	+0.002221
5	+0.001940	-0.004764	+0.000161	+0.002663
6	+0.001353	-0.014646	-0.001492	+0.014785
7	+0.013887	-0.010957	-0.006551	+0.003621
8	+0.008868	-0.015271	-0.004330	+0.010733
9	+0.022810	-0.021025	-0.012363	+0.010577
10	-0.005505	-0.006350	-0.010208	+0.022063
11	+0.002544	-0.008226	-0.020571	+0.026253
12	+0.006997	-0.017095	-0.016983	+0.027081
13	+0.014144	-0.009102	-0.007825	+0.002783
14	+0.006497	+0.008913	-0.013042	-0.002368
15	+0.016923	-0.002629	-0.002090	-0.012204
16	+0.023624	-0.019113	-0.007967	+0.003456
17	+0.062470	-0.066527	-0.022910	+0.026967
18	+0.060403	-0.090979	-0.030873	+0.061449
19	+0.035456	-0.089012	-0.192167	+0.245723
20	+0.050514	-0.101325	-0.185191	+0.236002
21	+0.086716	-0.015075	-0.209257	+0.137616
22	+0.286383	-0.243049	-0.026475	-0.016859
23	-0.029377	+0.086639	-0.169422	+0.112160
24	+0.082578	-0.122993	+0.166700	-0.126285
25	+0.063308	-0.136794	-0.144900	+0.218385
26	-0.058445	-0.044180	-0.124146	+0.226771
27	-0.042934	-0.097176	-0.111304	+0.251415
28	+0.087689	-0.078613	-0.084398	+0.075321
29	-0.118506	-0.109359	+0.177064	+0.050801
30	-0.069655	+0.011047	+0.024937	+0.033672
31	-0.047727	+0.017383	-0.017671	+0.048015
32	+0.005396	+0.022725	+0.020875	-0.048996
33	-0.024957	+0.017472	+0.013459	-0.005974
34	+0.011299	-0.000377	-0.000154	-0.010769
35	+0.024854	-0.004863	+0.006673	-0.026664
36	+0.012954	-0.013682	+0.005598	-0.004870
37	+0.022492	-0.014252	-0.042568	+0.034327
38	+0.019307	-0.005051	-0.018288	+0.004032
39	-0.001689	+0.006802	-0.006900	+0.001787
40	-0.006607	+0.003900	+0.003616	-0.000908
41	-0.004609	+0.011177	+0.001099	-0.007667
42	+0.013517	-0.003144	-0.006495	-0.003879
43	+0.030630	-0.027981	+0.029197	-0.031845
44	+0.006843	+0.016637	-0.050399	+0.026919
45	+0.068836	-0.094652	-0.051559	+0.077375
46	-0.003523	-0.052038	-0.072202	+0.127763
47	-0.019055	+0.008423	-0.064558	+0.075190
48	+0.000316	+0.006363	-0.013708	+0.007029
49	+0.020020	-0.005385	+0.010710	-0.025346
