pos	val_A	val_C	val_G	val_T
87	-0.002903	-0.000152	-0.022770	+0.025824
88	-0.011240	+0.017844	-0.006950	+0.000347
89	+0.001184	-0.016315	+0.004967	+0.010164
90	+0.002989	+0.001047	+0.002435	-0.006471
91	-0.009309	-0.019591	+0.024585	+0.004316
92	-0.000932	-0.010670	+0.000740	+0.010862
93	+0.023689	-0.019278	+0.001986	-0.006397
94	-0.002073	-0.003068	+0.009314	-0.004172
95	+0.019735	-0.004554	+0.001138	-0.016319
96	+0.003390	+0.004898	-0.000068	-0.008220
97	-0.005450	-0.001507	+0.003904	+0.003053
98	+0.032288	-0.018923	+0.002064	-0.015430
99	-0.005964	-0.007753	-0.014158	+0.027875
100	+0.004004	-0.007874	+0.001833	+0.002038
101	+0.040702	-0.018429	-0.026702	+0.004429
102	+0.030971	-0.047051	-0.003047	+0.019127
103	+0.048466	-0.049630	-0.041860	+0.043023
104	+0.049413	-0.084731	-0.043203	+0.078522
105	+0.043653	-0.089607	-0.068812	+0.114766
106	+0.011082	-0.094272	-0.149198	+0.232387
107	+0.025789	-0.136750	-0.141389	+0.252350
108	+0.044552	-0.002856	-0.197629	+0.155933
109	+0.288750	-0.190888	-0.055879	-0.041983
110	-0.074246	+0.072422	-0.130019	+0.131843
111	+0.077055	-0.097013	+0.124014	-0.104056
112	+0.071196	-0.116207	-0.173656	+0.218668
113	-0.056278	-0.046867	-0.124496	+0.227641
114	+0.001115	-0.187691	-0.080176	+0.266753
115	+0.112827	-0.054966	-0.097346	+0.039484
116	-0.113839	-0.077590	+0.187014	+0.004414
117	-0.109296	-0.022357	+0.047619	+0.084034
118	-0.027263	+0.007091	-0.053464	+0.073637
119	+0.018150	+0.018189	+0.017152	-0.053491
120	-0.040009	+0.038268	+0.002844	-0.001103
121	+0.020996	-0.028942	+0.041590	-0.033644
122	+0.059077	-0.025928	+0.017094	-0.050243
123	+0.044743	-0.026701	-0.001595	-0.016448
124	+0.067458	-0.043503	-0.043534	+0.019579
125	+0.044703	-0.041678	-0.035053	+0.032027
126	-0.009015	+0.027548	-0.033074	+0.014541
127	-0.001264	-0.023547	+0.015157	+0.009654
128	-0.013058	+0.018962	-0.017893	+0.011988
129	-0.004239	-0.030256	+0.031684	+0.002811
130	+0.011236	-0.009750	+0.009282	-0.010768
131	+0.010421	+0.008239	-0.044670	+0.026010
132	+0.035530	-0.025445	-0.068539	+0.058454
133	-0.010960	-0.004176	-0.042276	+0.057413
134	-0.019502	-0.012200	-0.054041	+0.085744
135	-0.018151	+0.019089	-0.015420	+0.014483
136	+0.019896	-0.007846	+0.006638	-0.018688
