pos	val_A	val_C	val_G	val_T
87	-0.021902	+0.005052	-0.015524	+0.032374
88	-0.002050	-0.009418	+0.000632	+0.010836
89	+0.000145	-0.005702	-0.001946	+0.007503
90	-0.011708	+0.016799	+0.018991	-0.024082
91	+0.023235	-0.002876	-0.036300	+0.015941
92	+0.021170	-0.012996	-0.000461	-0.007713
93	+0.010734	-0.012461	+0.006141	-0.004414
94	-0.007668	+0.037498	-0.042477	+0.012647
95	+0.035885	-0.000125	-0.010985	-0.024776
96	+0.004314	+0.011242	-0.005224	-0.010332
97	+0.002705	-0.024834	+0.006946	+0.015183
98	+0.018252	-0.000997	-0.024181	+0.006927
99	-0.019711	+0.002538	-0.011527	+0.028700
100	-0.006336	+0.028715	+0.001372	-0.023750
101	+0.024523	-0.013571	+0.005869	-0.016821
102	+0.041865	-0.004030	-0.042511	+0.004675
103	+0.023957	-0.006766	-0.061004	+0.043813
104	+0.044504	-0.063388	-0.061993	+0.080877
105	+0.021453	-0.082802	-0.078993	+0.140343
106	+0.026596	-0.065136	-0.165613	+0.204153
107	+0.052784	-0.114477	-0.187407	+0.249100
108	+0.003135	+0.045096	-0.167063	+0.118833
109	+0.346963	-0.390359	-0.017356	+0.060752
110	+0.021026	+0.079824	-0.167572	+0.066723
111	+0.025651	-0.051356	+0.040036	-0.014331
112	+0.148269	-0.152684	-0.173327	+0.177742
113	-0.056587	+0.005310	-0.150436	+0.201713
114	-0.002443	-0.090581	-0.096377	+0.189400
115	+0.078476	-0.091964	-0.042659	+0.056147
116	-0.121565	-0.059598	+0.138695	+0.042467
117	-0.024153	-0.015407	+0.006889	+0.032671
118	-0.024990	+0.027488	-0.039591	+0.037094
119	-0.024094	+0.020184	-0.006247	+0.010157
120	-0.035077	+0.030644	-0.024570	+0.029004
121	+0.050753	-0.032447	+0.026177	-0.044483
122	+0.029775	-0.002344	+0.006189	-0.033620
123	+0.072819	+0.014243	-0.094773	+0.007710
124	+0.090756	-0.056677	-0.056463	+0.022383
125	+0.033412	-0.027025	-0.023273	+0.016886
126	+0.006779	+0.015568	-0.038350	+0.016004
127	-0.005267	-0.036859	+0.017236	+0.024891
128	-0.021128	+0.033481	-0.011892	-0.000461
129	+0.011442	-0.021741	+0.036864	-0.026565
130	-0.006785	-0.007017	-0.001727	+0.015529
131	+0.001004	-0.006973	-0.011110	+0.017079
132	+0.035539	-0.033866	-0.046255	+0.044581
133	+0.023606	+0.007467	-0.062169	+0.031096
134	+0.016284	-0.000606	-0.065523	+0.049845
135	+0.010895	+0.014860	+0.005157	-0.030913
136	+0.039509	-0.005574	-0.032767	-0.001168
