pos	val_A	val_C	val_G	val_T
87	-0.013864	+0.012767	-0.016578	+0.017676
88	+0.002107	+0.010362	-0.016627	+0.004157
89	+0.018835	-0.006730	-0.010524	-0.001580
90	+0.008009	+0.000713	-0.008518	-0.000205
91	-0.036045	-0.008507	+0.058767	-0.014215
92	-0.024849	+0.025918	+0.017227	-0.018296
93	-0.005583	+0.021035	-0.005195	-0.010256
94	+0.008728	-0.001613	-0.007017	-0.000097
95	+0.019519	+0.005973	-0.018685	-0.006807
96	+0.005936	+0.001812	-0.013204	+0.005455
97	-0.023510	-0.023016	-0.006595	+0.053121
98	+0.017148	+0.014783	-0.000096	-0.031835
99	-0.020371	+0.015591	-0.008940	+0.013720
100	+0.006629	-0.015294	-0.007406	+0.016071
101	+0.010108	+0.004062	-0.005706	-0.008464
102	+0.047183	-0.039606	-0.016624	+0.009048
103	+0.053673	-0.057605	-0.047501	+0.051433
104	+0.038849	-0.020428	-0.122509	+0.104088
105	-0.002401	-0.059690	-0.006028	+0.068118
106	-0.002315	-0.120750	-0.129034	+0.252098
107	-0.024879	-0.092043	-0.166217	+0.283139
108	+0.028589	-0.056931	-0.144038	+0.172380
109	+0.183262	-0.166119	-0.131299	+0.114156
110	-0.110516	+0.072821	-0.141382	+0.179077
111	+0.098512	-0.159081	+0.161235	-0.100667
112	-0.022812	-0.086902	-0.092171	+0.201885
113	+0.048209	-0.116839	-0.096255	+0.164885
114	-0.068335	-0.035649	-0.102570	+0.206555
115	+0.103125	-0.079796	-0.101187	+0.077859
116	-0.127082	-0.077743	+0.208885	-0.004061
117	-0.124084	-0.016444	+0.053197	+0.087332
118	-0.005677	+0.003768	-0.083710	+0.085619
119	+0.023892	+0.016251	+0.022581	-0.062724
120	-0.033066	+0.031244	-0.001577	+0.003399
121	+0.033593	-0.049044	+0.052481	-0.037030
122	+0.069724	-0.014958	+0.009341	-0.064108
123	+0.026468	-0.067983	-0.018050	+0.059566
124	+0.081682	-0.054445	-0.074174	+0.046937
125	+0.032102	-0.032849	-0.036628	+0.037375
126	-0.005983	+0.007987	-0.014585	+0.012582
127	-0.006044	-0.010476	+0.022693	-0.006173
128	-0.019176	+0.011188	-0.026780	+0.034768
129	-0.016923	-0.019439	+0.030768	+0.005594
130	+0.023406	-0.013374	+0.006264	-0.016296
131	-0.004284	+0.020850	-0.036772	+0.020207
132	+0.088579	-0.067288	-0.094180	+0.072888
133	-0.032190	+0.037918	-0.063664	+0.057936
134	-0.014457	+0.004495	-0.092506	+0.102468
135	-0.016915	+0.032623	-0.037532	+0.021825
136	+0.022625	-0.000501	-0.011775	-0.010349
