pos	val_A	val_C	val_G	val_T
87	-0.057070	+0.057427	-0.012445	+0.012088
88	+0.007447	-0.002083	-0.027727	+0.022363
89	-0.027723	-0.043900	+0.036878	+0.034745
90	-0.026410	+0.045316	+0.005807	-0.024713
91	+0.025621	-0.023434	-0.034001	+0.031813
92	+0.062080	-0.022796	-0.026961	-0.012323
93	+0.026081	+0.064062	-0.057270	-0.032872
94	+0.028160	-0.013811	+0.002667	-0.017016
95	-0.005184	-0.006088	-0.036023	+0.047295
96	+0.008496	-0.036443	-0.020234	+0.048180
97	+0.036030	-0.018336	-0.027071	+0.009377
98	+0.042512	+0.043262	-0.050424	-0.035351
99	-0.016901	-0.076124	+0.074357	+0.018669
100	+0.026108	-0.057325	+0.070303	-0.039086
101	+0.089431	+0.030056	-0.051326	-0.068161
102	+0.065261	-0.010949	-0.031222	-0.023090
103	+0.017133	-0.027731	-0.058005	+0.068602
104	+0.033615	-0.070552	-0.083344	+0.120281
105	+0.037831	-0.065818	-0.086182	+0.114168
106	-0.037627	-0.044276	-0.104144	+0.186046
107	+0.003709	-0.032713	-0.178507	+0.207511
108	+0.006071	-0.050384	-0.100212	+0.144524
109	+0.157730	-0.206508	-0.042191	+0.090968
110	+0.009677	+0.137786	-0.230528	+0.083066
111	+0.058879	-0.212155	+0.144196	+0.009081
112	+0.088506	-0.109688	-0.145760	+0.166942
113	-0.010759	-0.006941	-0.182771	+0.200470
114	-0.060608	-0.090124	+0.006247	+0.144485
115	+0.099313	-0.083030	-0.060600	+0.044317
116	+0.072985	-0.166480	+0.157758	-0.064263
117	-0.083905	-0.072095	+0.038327	+0.117674
118	-0.056521	-0.028560	+0.007922	+0.077159
119	+0.047806	+0.008872	+0.007252	-0.063930
120	-0.045468	+0.030810	-0.039316	+0.053974
121	-0.031071	+0.000334	+0.021306	+0.009432
122	+0.056274	-0.044319	-0.005533	-0.006422
123	+0.076358	-0.042547	+0.003584	-0.037395
124	+0.104360	-0.030726	-0.043392	-0.030242
125	+0.005584	-0.016211	-0.056694	+0.067322
126	-0.031104	-0.014919	-0.015212	+0.061235
127	-0.000429	-0.084769	+0.003539	+0.081658
128	-0.002046	+0.032401	+0.004906	-0.035262
129	+0.030376	+0.008206	+0.034346	-0.072927
130	+0.034760	+0.038472	-0.000129	-0.073103
131	+0.013886	-0.073138	+0.072660	-0.013408
132	+0.017341	-0.013457	-0.078887	+0.075002
133	-0.009760	-0.005630	-0.062809	+0.078198
134	+0.030903	-0.058216	-0.091078	+0.118390
135	+0.027781	-0.020833	+0.022495	-0.029443
136	+0.061221	-0.027898	-0.023462	-0.009860
